Station_ID,date,Monthly_MSL,Monthly_Avg_Temp
"San Diego, CA",1979-1,-0.002,56.8
"San Diego, CA",1979-2,-0.04,56.9
"San Diego, CA",1979-3,-0.039,60.1
"San Diego, CA",1979-4,-0.04,63.4
"San Diego, CA",1979-5,-0.047,65.5
"San Diego, CA",1979-6,-0.055,70.2
"San Diego, CA",1979-7,-0.071,71.7
"San Diego, CA",1979-8,-0.046,73.8
"San Diego, CA",1979-9,-0.042,76.2
"San Diego, CA",1979-10,-0.068,68.6
"San Diego, CA",1979-11,-0.082,62.3
"San Diego, CA",1979-12,-0.034,60.5
"San Diego, CA",1980-1,0.019,61
"San Diego, CA",1980-2,0.085,63.5
"San Diego, CA",1980-3,0.022,61.5
"San Diego, CA",1980-4,-0.012,63.8
"San Diego, CA",1980-5,-0.041,63.7
"San Diego, CA",1980-6,-0.036,68.4
"San Diego, CA",1980-7,-0.065,72.9
"San Diego, CA",1980-8,-0.009,74.1
"San Diego, CA",1980-9,-0.042,70.4
"San Diego, CA",1980-10,-0.056,67.3
"San Diego, CA",1980-11,-0.051,62.6
"San Diego, CA",1980-12,-0.043,60.7
"San Diego, CA",1981-1,-0.02,61.3
"San Diego, CA",1981-2,-0.043,62.1
"San Diego, CA",1981-3,-0.03,61
"San Diego, CA",1981-4,0.009,64.3
"San Diego, CA",1981-5,0.014,67.2
"San Diego, CA",1981-6,-0.009,72.8
"San Diego, CA",1981-7,-0.016,75.6
"San Diego, CA",1981-8,-0.046,75.8
"San Diego, CA",1981-9,-0.073,73.5
"San Diego, CA",1981-10,-0.05,67.1
"San Diego, CA",1981-11,-0.054,63.5
"San Diego, CA",1981-12,-0.062,60.2
"San Diego, CA",1982-1,-0.081,56.5
"San Diego, CA",1982-2,-0.055,60.7
"San Diego, CA",1982-3,0,60.5
"San Diego, CA",1982-4,-0.052,63.7
"San Diego, CA",1982-5,0.008,65.7
"San Diego, CA",1982-6,-0.036,66.6
"San Diego, CA",1982-7,-0.029,71.8
"San Diego, CA",1982-8,0.012,73.4
"San Diego, CA",1982-9,0.068,73.1
"San Diego, CA",1982-10,0.066,70.1
"San Diego, CA",1982-11,0.133,62.1
"San Diego, CA",1982-12,0.091,57.3
"San Diego, CA",1983-1,0.154,60.6
"San Diego, CA",1983-2,0.091,60.8
"San Diego, CA",1983-3,0.037,61.9
"San Diego, CA",1983-4,0.061,62.3
"San Diego, CA",1983-5,0.047,66.1
"San Diego, CA",1983-6,0.098,68
"San Diego, CA",1983-7,0.099,72.5
"San Diego, CA",1983-8,0.104,77.4
"San Diego, CA",1983-9,0.122,76.8
"San Diego, CA",1983-10,0.069,68.4
"San Diego, CA",1983-11,0.023,61.4
"San Diego, CA",1983-12,-0.019,56.6
"San Diego, CA",1984-1,-0.008,61.2
"San Diego, CA",1984-2,-0.016,60.1
"San Diego, CA",1984-3,0.031,63.6
"San Diego, CA",1984-4,0.009,64.3
"San Diego, CA",1984-5,0.041,68
"San Diego, CA",1984-6,0.043,69.9
"San Diego, CA",1984-7,0.048,77.1
"San Diego, CA",1984-8,0.052,76.5
"San Diego, CA",1984-9,0.089,78.8
"San Diego, CA",1984-10,0.005,68.4
"San Diego, CA",1984-11,-0.042,61.4
"San Diego, CA",1984-12,-0.007,56.6
"San Diego, CA",1985-1,-0.011,57
"San Diego, CA",1985-2,-0.037,57.1
"San Diego, CA",1985-3,-0.061,58.8
"San Diego, CA",1985-4,-0.006,63.5
"San Diego, CA",1985-5,-0.05,64.7
"San Diego, CA",1985-6,-0.021,68.9
"San Diego, CA",1985-7,0.005,75.2
"San Diego, CA",1985-8,-0.03,72.3
"San Diego, CA",1985-9,-0.015,96.8
"San Diego, CA",1985-10,-0.022,67.9
"San Diego, CA",1985-11,-0.03,60.3
"San Diego, CA",1985-12,-0.046,57.9
"San Diego, CA",1986-1,-0.029,60.9
"San Diego, CA",1986-2,-0.012,58.8
"San Diego, CA",1986-3,-0.021,60.5
"San Diego, CA",1986-4,0,62.8
"San Diego, CA",1986-5,-0.014,64.5
"San Diego, CA",1986-6,-0.055,67.4
"San Diego, CA",1986-7,-0.041,69.6
"San Diego, CA",1986-8,-0.033,71.7
"San Diego, CA",1986-9,-0.045,66.9
"San Diego, CA",1986-10,0.002,65.4
"San Diego, CA",1986-11,0.044,62.7
"San Diego, CA",1986-12,0.042,57.6
"San Diego, CA",1987-1,-0.017,55.3
"San Diego, CA",1987-2,0.061,57.9
"San Diego, CA",1987-3,-0.006,59.1
"San Diego, CA",1987-4,-0.012,63.3
"San Diego, CA",1987-5,0.041,64.6
"San Diego, CA",1987-6,-0.024,65.7
"San Diego, CA",1987-7,-0.004,67
"San Diego, CA",1987-8,-0.012,69.8
"San Diego, CA",1987-9,0.01,69.9
"San Diego, CA",1987-10,-0.016,69.5
"San Diego, CA",1987-11,0.038,61.8
"San Diego, CA",1987-12,-0.037,53.9
"San Diego, CA",1988-1,-0.057,56.6
"San Diego, CA",1988-2,-0.003,59.9
"San Diego, CA",1988-3,-0.006,61.6
"San Diego, CA",1988-4,-0.003,62.3
"San Diego, CA",1988-5,-0.05,63.8
"San Diego, CA",1988-6,-0.079,64.9
"San Diego, CA",1988-7,-0.022,70.9
"San Diego, CA",1988-8,-0.058,71
"San Diego, CA",1988-9,-0.082,70
"San Diego, CA",1988-10,-0.08,66.6
"San Diego, CA",1988-11,-0.115,60.7
"San Diego, CA",1988-12,-0.11,56
"San Diego, CA",1989-1,-0.109,54.7
"San Diego, CA",1989-2,-0.11,56.6
"San Diego, CA",1989-3,-0.042,59.7
"San Diego, CA",1989-4,-0.024,65.5
"San Diego, CA",1989-5,-0.02,63.6
"San Diego, CA",1989-6,-0.04,65.9
"San Diego, CA",1989-7,-0.016,70.5
"San Diego, CA",1989-8,-0.033,70.9
"San Diego, CA",1989-9,-0.015,70.3
"San Diego, CA",1989-10,-0.056,66.2
"San Diego, CA",1989-11,0.008,63.1
"San Diego, CA",1989-12,-0.025,58.7
"San Diego, CA",1990-1,-0.014,56.6
"San Diego, CA",1990-2,-0.031,55.2
"San Diego, CA",1990-3,-0.036,58.7
"San Diego, CA",1990-4,0.028,63.2
"San Diego, CA",1990-5,-0.023,64.2
"San Diego, CA",1990-6,0.012,68.9
"San Diego, CA",1990-7,0.008,72.3
"San Diego, CA",1990-8,-0.009,71.6
"San Diego, CA",1990-9,0.016,71.7
"San Diego, CA",1990-10,0.024,68.6
"San Diego, CA",1990-11,0.029,62.6
"San Diego, CA",1990-12,0.006,55.6
"San Diego, CA",1991-1,0.01,57.3
"San Diego, CA",1991-2,0.033,59.3
"San Diego, CA",1991-3,0,56.5
"San Diego, CA",1991-4,-0.043,61.6
"San Diego, CA",1991-5,-0.029,62.1
"San Diego, CA",1991-6,-0.015,64.1
"San Diego, CA",1991-7,-0.01,67.3
"San Diego, CA",1991-8,-0.03,68.9
"San Diego, CA",1991-9,-0.009,69.3
"San Diego, CA",1991-10,0.039,67.9
"San Diego, CA",1991-11,0.057,62.2
"San Diego, CA",1991-12,0.042,57.2
"San Diego, CA",1992-1,0.099,57.3
"San Diego, CA",1992-2,0.119,61.1
"San Diego, CA",1992-3,0.156,60.3
"San Diego, CA",1992-4,0.079,66.9
"San Diego, CA",1992-5,0.056,67.9
"San Diego, CA",1992-6,-0.009,68.1
"San Diego, CA",1992-7,0.032,71.7
"San Diego, CA",1992-8,0.037,71.8
"San Diego, CA",1992-9,0.025,72.4
"San Diego, CA",1992-10,0.054,68.2
"San Diego, CA",1992-11,0.054,62.6
"San Diego, CA",1992-12,0.012,55.5
"San Diego, CA",1993-1,0.096,56.9
"San Diego, CA",1993-2,0.079,57.9
"San Diego, CA",1993-3,0.049,61.2
"San Diego, CA",1993-4,0.021,63.7
"San Diego, CA",1993-5,0.05,66
"San Diego, CA",1993-6,0.046,68.5
"San Diego, CA",1993-7,0.054,69.7
"San Diego, CA",1993-8,0,70.1
"San Diego, CA",1993-9,0.019,69
"San Diego, CA",1993-10,0.03,67.3
"San Diego, CA",1993-11,0.011,61.5
"San Diego, CA",1993-12,-0.007,57
"San Diego, CA",1994-1,0.013,57.8
"San Diego, CA",1994-2,-0.019,56.4
"San Diego, CA",1994-3,0.003,60.3
"San Diego, CA",1994-4,-0.043,60.9
"San Diego, CA",1994-5,-0.015,62.1
"San Diego, CA",1994-6,0.01,68.1
"San Diego, CA",1994-7,0.005,69.4
"San Diego, CA",1994-8,0.028,74
"San Diego, CA",1994-9,0.004,72.5
"San Diego, CA",1994-10,0.012,66.7
"San Diego, CA",1994-11,-0.018,56.4
"San Diego, CA",1994-12,0.006,55.8
"San Diego, CA",1995-1,0.012,56.9
"San Diego, CA",1995-2,0.041,61.4
"San Diego, CA",1995-3,0.037,60.3
"San Diego, CA",1995-4,-0.036,61.4
"San Diego, CA",1995-5,-0.025,62
"San Diego, CA",1995-6,-0.006,64.7
"San Diego, CA",1995-7,-0.014,68.9
"San Diego, CA",1995-8,0.041,71.9
"San Diego, CA",1995-9,0.009,71.4
"San Diego, CA",1995-10,-0.016,67.1
"San Diego, CA",1995-11,-0.031,63.1
"San Diego, CA",1995-12,-0.022,58.2
"San Diego, CA",1996-1,-0.061,57.6
"San Diego, CA",1996-2,-0.015,57.7
"San Diego, CA",1996-3,-0.026,60
"San Diego, CA",1996-4,-0.029,64.6
"San Diego, CA",1996-5,0.018,66.7
"San Diego, CA",1996-6,-0.016,67.8
"San Diego, CA",1996-7,-0.025,70
"San Diego, CA",1996-8,0.003,72.8
"San Diego, CA",1996-9,-0.003,70.6
"San Diego, CA",1996-10,-0.009,64.2
"San Diego, CA",1996-11,-0.049,61.5
"San Diego, CA",1996-12,-0.044,57.8
"San Diego, CA",1997-1,-0.043,57.9
"San Diego, CA",1997-2,-0.037,58.3
"San Diego, CA",1997-3,0.029,61.5
"San Diego, CA",1997-4,0.004,62.4
"San Diego, CA",1997-5,0.089,68.6
"San Diego, CA",1997-6,0.074,67.4
"San Diego, CA",1997-7,0.034,69.2
"San Diego, CA",1997-8,0.096,72.9
"San Diego, CA",1997-9,0.112,75.2
"San Diego, CA",1997-10,0.164,68.6
"San Diego, CA",1997-11,0.183,63.9
"San Diego, CA",1997-12,0.169,57.4
"San Diego, CA",1998-1,0.124,58.1
"San Diego, CA",1998-2,0.065,57.2
"San Diego, CA",1998-3,0.075,59.2
"San Diego, CA",1998-4,-0.01,59.6
"San Diego, CA",1998-5,0.008,62.7
"San Diego, CA",1998-6,-0.002,65.6
"San Diego, CA",1998-7,0.037,68.7
"San Diego, CA",1998-8,0.041,72.7
"San Diego, CA",1998-9,0.01,70.2
"San Diego, CA",1998-10,-0.033,65.6
"San Diego, CA",1998-11,-0.034,59.6
"San Diego, CA",1998-12,-0.106,55.3
"San Diego, CA",1999-1,-0.058,57.5
"San Diego, CA",1999-2,-0.1,57.7
"San Diego, CA",1999-3,-0.051,58.2
"San Diego, CA",1999-4,-0.021,58.8
"San Diego, CA",1999-5,0.002,60.4
"San Diego, CA",1999-6,-0.003,62.8
"San Diego, CA",1999-7,-0.016,68.4
"San Diego, CA",1999-8,-0.046,68
"San Diego, CA",1999-9,-0.078,66.9
"San Diego, CA",1999-10,-0.074,68.7
"San Diego, CA",1999-11,-0.107,60.4
"San Diego, CA",1999-12,-0.092,57.7
"San Diego, CA",2000-1,-0.081,58.2
"San Diego, CA",2000-2,-0.072,58.9
"San Diego, CA",2000-3,-0.032,58.1
"San Diego, CA",2000-4,-0.046,62.3
"San Diego, CA",2000-5,-0.01,64.5
"San Diego, CA",2000-6,0.022,68.1
"San Diego, CA",2000-7,-0.008,69.1
"San Diego, CA",2000-8,-0.016,72
"San Diego, CA",2000-9,-0.022,70.4
"San Diego, CA",2000-10,-0.043,65.1
"San Diego, CA",2000-11,-0.064,58.3
"San Diego, CA",2000-12,-0.091,58
"San Diego, CA",2001-1,-0.065,54.7
"San Diego, CA",2001-2,-0.047,54.8
"San Diego, CA",2001-3,-0.008,58.8
"San Diego, CA",2001-4,-0.058,58.5
"San Diego, CA",2001-5,0.029,63.6
"San Diego, CA",2001-6,-0.008,67.5
"San Diego, CA",2001-7,-0.027,68.9
"San Diego, CA",2001-8,-0.039,69.5
"San Diego, CA",2001-9,-0.033,68.2
"San Diego, CA",2001-10,-0.043,66.3
"San Diego, CA",2001-11,-0.041,61.3
"San Diego, CA",2001-12,-0.061,55.4
"San Diego, CA",2002-1,-0.058,55.6
"San Diego, CA",2002-2,-0.048,57.4
"San Diego, CA",2002-3,-0.041,57.6
"San Diego, CA",2002-4,-0.039,59.5
"San Diego, CA",2002-5,-0.048,61.8
"San Diego, CA",2002-6,-0.026,64.6
"San Diego, CA",2002-7,-0.01,67.8
"San Diego, CA",2002-8,-0.037,68.8
"San Diego, CA",2002-9,0.012,70
"San Diego, CA",2002-10,-0.026,64.2
"San Diego, CA",2002-11,0.044,63.4
"San Diego, CA",2002-12,0.026,56.7
"San Diego, CA",2003-1,-0.007,61.6
"San Diego, CA",2003-2,0.067,59
"San Diego, CA",2003-3,-0.056,60.2
"San Diego, CA",2003-4,-0.021,59.8
"San Diego, CA",2003-5,-0.03,62.3
"San Diego, CA",2003-6,-0.005,64.1
"San Diego, CA",2003-7,0.018,70
"San Diego, CA",2003-8,0.029,72.6
"San Diego, CA",2003-9,0.001,69.8
"San Diego, CA",2003-10,0.08,67.7
"San Diego, CA",2003-11,0.001,60.7
"San Diego, CA",2003-12,0.006,56.9
"San Diego, CA",2004-1,0.021,56.8
"San Diego, CA",2004-2,-0.019,56.6
"San Diego, CA",2004-3,0.048,62.6
"San Diego, CA",2004-4,0.002,64.3
"San Diego, CA",2004-5,0.04,68.4
"San Diego, CA",2004-6,0.035,67.8
"San Diego, CA",2004-7,-0.012,72
"San Diego, CA",2004-8,-0.012,70.7
"San Diego, CA",2004-9,0.043,71.6
"San Diego, CA",2004-10,0.021,65.3
"San Diego, CA",2004-11,0.01,60
"San Diego, CA",2004-12,0.04,57.7
"San Diego, CA",2005-1,0.082,58.7
"San Diego, CA",2005-2,0.085,59.8
"San Diego, CA",2005-3,-0.004,60.9
"San Diego, CA",2005-4,0.026,61.8
"San Diego, CA",2005-5,0.029,65.4
"San Diego, CA",2005-6,-0.002,66.3
"San Diego, CA",2005-7,0.021,69.9
"San Diego, CA",2005-8,0.007,71
"San Diego, CA",2005-9,-0.03,68.2
"San Diego, CA",2005-10,-0.008,65.8
"San Diego, CA",2005-11,-0.018,62.7
"San Diego, CA",2005-12,-0.036,56.4
"San Diego, CA",2006-1,-0.056,57
"San Diego, CA",2006-2,-0.039,58.2
"San Diego, CA",2006-3,-0.038,57.1
"San Diego, CA",2006-4,0.011,61.8
"San Diego, CA",2006-5,0.055,64.7
"San Diego, CA",2006-6,0.049,70.7
"San Diego, CA",2006-7,0.092,76.2
"San Diego, CA",2006-8,0.031,73
"San Diego, CA",2006-9,0.039,70.2
"San Diego, CA",2006-10,0.047,65.8
"San Diego, CA",2006-11,0.048,63.4
"San Diego, CA",2006-12,0.017,56.4
"San Diego, CA",2007-1,0.022,54
"San Diego, CA",2007-2,-0.041,57.1
"San Diego, CA",2007-3,-0.051,59.9
"San Diego, CA",2007-4,-0.003,59.8
"San Diego, CA",2007-5,-0.006,62.9
"San Diego, CA",2007-6,-0.015,65.2
"San Diego, CA",2007-7,0.021,69.8
"San Diego, CA",2007-8,0.011,73.3
"San Diego, CA",2007-9,-0.017,69.5
"San Diego, CA",2007-10,-0.059,66.7
"San Diego, CA",2007-11,-0.053,61.2
"San Diego, CA",2007-12,-0.046,54.2
"San Diego, CA",2008-1,-0.029,54.3
"San Diego, CA",2008-2,-0.028,55.6
"San Diego, CA",2008-3,-0.046,58.9
"San Diego, CA",2008-4,-0.028,61.7
"San Diego, CA",2008-5,0.031,63.4
"San Diego, CA",2008-6,0.056,66.9
"San Diego, CA",2008-7,0.061,69.6
"San Diego, CA",2008-8,0.076,71.1
"San Diego, CA",2008-9,0.041,71.1
"San Diego, CA",2008-10,0.013,69
"San Diego, CA",2008-11,0.005,64.5
"San Diego, CA",2008-12,-0.002,56.5
"San Diego, CA",2009-1,-0.028,59.8
"San Diego, CA",2009-2,-0.023,57.8
"San Diego, CA",2009-3,0,59.4
"San Diego, CA",2009-4,0.004,62.5
"San Diego, CA",2009-5,0.036,64
"San Diego, CA",2009-6,0.039,66.1
"San Diego, CA",2009-7,0.025,70.6
"San Diego, CA",2009-8,0.022,72.3
"San Diego, CA",2009-9,0.041,72.1
"San Diego, CA",2009-10,0.095,65.5
"San Diego, CA",2009-11,0.049,61.2
"San Diego, CA",2009-12,0.114,56.6
"San Diego, CA",2010-1,0.116,58.2
"San Diego, CA",2010-2,0.101,58.2
"San Diego, CA",2010-3,0.009,60.2
"San Diego, CA",2010-4,0.073,60
"San Diego, CA",2010-5,-0.012,62.1
"San Diego, CA",2010-6,0.011,63.8
"San Diego, CA",2010-7,-0.027,65.8
"San Diego, CA",2010-8,-0.015,68
"San Diego, CA",2010-9,-0.022,68.8
"San Diego, CA",2010-10,-0.021,67.9
"San Diego, CA",2010-11,-0.018,62.3
"San Diego, CA",2010-12,0.012,58.7
"San Diego, CA",2011-1,0.021,60.1
"San Diego, CA",2011-2,-0.011,57.6
"San Diego, CA",2011-3,-0.012,60.8
"San Diego, CA",2011-4,0.051,63.6
"San Diego, CA",2011-5,0.056,64.6
"San Diego, CA",2011-6,0.046,65.4
"San Diego, CA",2011-7,0.063,69.9
"San Diego, CA",2011-8,0.019,69
"San Diego, CA",2011-9,-0.006,68.7
"San Diego, CA",2011-10,-0.014,65.5
"San Diego, CA",2011-11,-0.011,60.2
"San Diego, CA",2011-12,-0.003,55.5
"San Diego, CA",2012-1,0.01,58.1
"San Diego, CA",2012-2,0.002,57.8
"San Diego, CA",2012-3,0.005,58.1
"San Diego, CA",2012-4,0.029,61.1
"San Diego, CA",2012-5,0.056,63.7
"San Diego, CA",2012-6,0.084,65.1
"San Diego, CA",2012-7,0.023,68.6
"San Diego, CA",2012-8,0.089,73.6
"San Diego, CA",2012-9,0.076,74.7
"San Diego, CA",2012-10,0.068,69.1
"San Diego, CA",2012-11,0.026,62.2
"San Diego, CA",2012-12,0.028,57.3
"San Diego, CA",2013-1,-0.013,55.8
"San Diego, CA",2013-2,-0.012,56.3
"San Diego, CA",2013-3,0.017,60.1
"San Diego, CA",2013-4,0.059,61.8
"San Diego, CA",2013-5,0.054,65.8
"San Diego, CA",2013-6,0.048,66.6
"San Diego, CA",2013-7,0.041,70.2
"San Diego, CA",2013-8,0.018,70.6
"San Diego, CA",2013-9,0.056,71.4
"San Diego, CA",2013-10,0.063,65.9
"San Diego, CA",2013-11,0.056,63.8
"San Diego, CA",2013-12,0.051,59.3
"San Diego, CA",2014-1,0.078,61.2
"San Diego, CA",2014-2,0.029,61.1
"San Diego, CA",2014-3,0.074,64
"San Diego, CA",2014-4,0.105,65.2
"San Diego, CA",2014-5,0.137,69.4
"San Diego, CA",2014-6,0.117,68.3
"San Diego, CA",2014-7,0.103,73.6
"San Diego, CA",2014-8,0.081,73.8
"San Diego, CA",2014-9,0.153,75.5
"San Diego, CA",2014-10,0.168,71.8
"San Diego, CA",2014-11,0.094,65.6
"San Diego, CA",2014-12,0.15,60.5
"San Diego, CA",2015-1,0.109,60.1
"San Diego, CA",2015-2,0.09,63
"San Diego, CA",2015-3,0.125,66.5
"San Diego, CA",2015-4,0.12,65.7
"San Diego, CA",2015-5,0.119,63.9
"San Diego, CA",2015-6,0.127,68.8
"San Diego, CA",2015-7,0.138,72.4
"San Diego, CA",2015-8,0.118,75.1
"San Diego, CA",2015-9,0.22,77.1
"San Diego, CA",2015-10,0.237,74.3
"San Diego, CA",2015-11,0.197,63.3
"San Diego, CA",2015-12,0.174,58.1
"San Diego, CA",2016-1,0.1,58.5
"San Diego, CA",2016-2,0.127,63.9
"San Diego, CA",2016-3,0.103,62.6
"San Diego, CA",2016-4,0.074,65.4
"San Diego, CA",2016-5,0.062,64.9
"San Diego, CA",2016-6,0.087,68.8
"San Diego, CA",2016-7,0.085,70.8
"San Diego, CA",2016-8,0.096,72.8
"San Diego, CA",2016-9,0.077,72
"San Diego, CA",2016-10,0.058,70.5
"San Diego, CA",2016-11,0.078,65.8
"San Diego, CA",2016-12,0.061,58.9
"San Diego, CA",2017-1,0.089,57.8
"San Diego, CA",2017-2,0.084,59.5
"San Diego, CA",2017-3,0.086,62.7
"San Diego, CA",2017-4,0.089,65.2
"San Diego, CA",2017-5,0.103,64.9
"San Diego, CA",2017-6,0.12,67.7
"San Diego, CA",2017-7,0.105,72.9
"San Diego, CA",2017-8,0.101,73.1
"San Diego, CA",2017-9,0.074,72.8
"San Diego, CA",2017-10,0.107,71.1
"San Diego, CA",2017-11,0.073,65
"San Diego, CA",2017-12,0.09,60.2
"San Diego, CA",2018-1,0.083,61.4
"San Diego, CA",2018-2,0.101,59.4
"San Diego, CA",2018-3,0.068,60.7
"San Diego, CA",2018-4,0.054,63.5
"San Diego, CA",2018-5,0.077,63.5
"San Diego, CA",2018-6,0.091,67.4
"San Diego, CA",2018-7,0.085,75.1
"San Diego, CA",2018-8,0.111,78.1
"San Diego, CA",2018-9,0.078,71.9
"San Diego, CA",2018-10,0.132,69.1
"San Diego, CA",2018-11,0.131,65.5
"San Diego, CA",2018-12,0.109,59.5
"San Diego, CA",2019-1,0.102,58.7
"San Diego, CA",2019-2,0.07,55.7
"San Diego, CA",2019-3,0.08,60.5
"San Diego, CA",2019-4,0.107,64.2
"San Diego, CA",2019-5,0.065,63.7
"San Diego, CA",2019-6,0.076,66.3
"San Diego, CA",2019-7,0.052,70
"San Diego, CA",2019-8,0.046,71.5
"San Diego, CA",2019-9,0.084,72.3
"San Diego, CA",2019-10,0.064,67.8
"San Diego, CA",2019-11,0.146,66.1
"San Diego, CA",2019-12,0.105,58.7
"San Diego, CA",2020-1,0.087,58.5
"San Diego, CA",2020-2,0.106,59.5
"San Diego, CA",2020-3,0.101,61.1
"San Diego, CA",2020-4,0.077,64.7
"San Diego, CA",2020-5,0.088,68.7
"San Diego, CA",2020-6,0.057,68.2
"San Diego, CA",2020-7,0.058,70
"San Diego, CA",2020-8,0.084,73.5
"San Diego, CA",2020-9,0.071,74.1
"San Diego, CA",2020-10,0.073,71.4
"San Diego, CA",2020-11,0.027,62.6
"San Diego, CA",2020-12,0.035,57.9
"San Diego, CA",2021-1,0.072,58
"San Diego, CA",2021-2,0.028,58.9
"San Diego, CA",2021-3,0.026,58.9
"San Diego, CA",2021-4,0.092,63.7
"San Diego, CA",2021-5,0.102,64.8
"San Diego, CA",2021-6,0.115,68.2
